"","ENSEMBL","SYMBOL","SRR9309444_SAM_Outputfile_Counts","SRR9309445_SAM_Outputfile_Counts"
"400","ENSG00000020256","ZFP64",2569,1620
"401","ENSG00000020426","MNAT1",2336,2093
"402","ENSG00000020577","SAMD4A",19402,26507
"403","ENSG00000020633","RUNX3",781,108
"404","ENSG00000020922","MRE11",2418,1551
"405","ENSG00000021300","PLEKHB1",469,415
"406","ENSG00000021355","SERPINB1",1681,2155
"407","ENSG00000021461","CYP3A43",0,0
"408","ENSG00000021488","SLC7A9",3,3
"409","ENSG00000021574","SPAST",2366,1576
"410","ENSG00000021645","NRXN3",7889,7188
"411","ENSG00000021762","OSBPL5",7351,3942
"412","ENSG00000021776","AQR",4361,3873
"413","ENSG00000021826","CPS1",2268,2039
"414","ENSG00000021852","C8B",0,0
"415","ENSG00000022267","FHL1",315396,364642
"416","ENSG00000022277","RTF2",8227,8169
"417","ENSG00000022355","GABRA1",0,0
"418","ENSG00000022556","NLRP2",534,420
"419","ENSG00000022567","SLC45A4",1165,646
"420","ENSG00000022840","RNF10",15654,19190
"421","ENSG00000022976","ZNF839",696,528
"422","ENSG00000023041","ZDHHC6",2444,1951
"423","ENSG00000023171","GRAMD1B",2057,1353
"424","ENSG00000023191","RNH1",23579,20781
"425","ENSG00000023228","NDUFS1",14255,13112
"426","ENSG00000023287","RB1CC1",18209,9320
"427","ENSG00000023318","ERP44",6647,6035
"428","ENSG00000023330","ALAS1",6902,5688
"429","ENSG00000023445","BIRC3",2646,1957
"430","ENSG00000023516","AKAP11",12451,7557
"431","ENSG00000023572","GLRX2",1228,815
"432","ENSG00000023608","SNAPC1",1758,1176
"433","ENSG00000023697","DERA",1586,1690
"434","ENSG00000023734","STRAP",17964,14985
"435","ENSG00000023839","ABCC2",25,15
"436","ENSG00000023892","DEF6",126,77
"437","ENSG00000023902","PLEKHO1",5490,3196
"438","ENSG00000023909","GCLM",3134,2880
"439","ENSG00000024048","UBR2",7124,4586
"440","ENSG00000024422","EHD2",73695,97701
"441","ENSG00000024526","DEPDC1",50,78
"442","ENSG00000024862","CCDC28A",935,595
"443","ENSG00000025039","RRAGD",686,164
"444","ENSG00000025156","HSF2",1932,1149
"445","ENSG00000025293","PHF20",16019,10101
"446","ENSG00000025423","HSD17B6",308,130
"447","ENSG00000025434","NR1H3",1518,602
"448","ENSG00000025708","TYMP",2485,1294
"449","ENSG00000025770","NCAPH2",2253,2059
"450","ENSG00000025772","TOMM34",5176,4854
"451","ENSG00000025796","SEC63",13389,9187
"452","ENSG00000025800","KPNA6",20514,18652
"453","ENSG00000026025","VIM",297227,222228
"454","ENSG00000026036","RTEL1-TNFRSF6B",294,293
"455","ENSG00000026103","FAS",3955,1286
"456","ENSG00000026297","RNASET2",1741,1432
"457","ENSG00000026508","CD44",64958,58679
"458","ENSG00000026559","KCNG1",1847,504
"459","ENSG00000026652","AGPAT4",1634,1333
"460","ENSG00000026751","SLAMF7",3844,21330
"461","ENSG00000026950","BTN3A1",3309,2127
"462","ENSG00000027001","MIPEP",1033,841
"463","ENSG00000027075","PRKCH",10085,14120
"464","ENSG00000027644","INSRR",6,9
"465","ENSG00000027697","IFNGR1",5340,3445
"466","ENSG00000027847","B4GALT7",3930,3224
"467","ENSG00000027869","SH2D2A",141,76
"468","ENSG00000028116","VRK2",1396,1029
"469","ENSG00000028137","TNFRSF1B",1061,662
"470","ENSG00000028203","VEZT",6627,6094
"471","ENSG00000028277","POU2F2",365,762
"472","ENSG00000028310","BRD9",3602,3355
"473","ENSG00000028528","SNX1",10440,9542
"474","ENSG00000028839","TBPL1",2027,1754
"475","ENSG00000029153","ARNTL2",5850,3002
"476","ENSG00000029363","BCLAF1",5341,6395
"477","ENSG00000029364","SLC39A9",10587,9043
"478","ENSG00000029534","ANK1",1821,1048
"479","ENSG00000029559","IBSP",0,0
"480","ENSG00000029639","TFB1M",976,653
"481","ENSG00000029725","RABEP1",6941,6241
"482","ENSG00000029993","HMGB3",724,754
"483","ENSG00000030066","NUP160",6116,4591
"484","ENSG00000030110","BAK1",2656,2190
"485","ENSG00000030304","MUSK",106,92
"486","ENSG00000030419","IKZF2",1278,704
"487","ENSG00000030582","GRN",37232,33946
"488","ENSG00000031003","FAM13B",1331,935
"489","ENSG00000031081","ARHGAP31",6352,6046
"490","ENSG00000031691","CENPQ",677,386
"491","ENSG00000031698","SARS1",23551,19349
"492","ENSG00000031823","RANBP3",6317,6044
"493","ENSG00000032219","ARID4A",2289,1462
"494","ENSG00000032389","EIPR1",1534,2144
"495","ENSG00000032444","PNPLA6",17746,15832
"496","ENSG00000032742","IFT88",376,283
"497","ENSG00000033011","ALG1",1693,1728
"498","ENSG00000033030","ZCCHC8",2895,1437
"499","ENSG00000033050","ABCF2",2626,2306
"500","ENSG00000033100","CHPF2",22729,19959
"501","ENSG00000033122","LRRC7",50,21
"502","ENSG00000033170","FUT8",1680,1439
"503","ENSG00000033178","UBA6",6731,4500
"504","ENSG00000033327","GAB2",6670,4838
"505","ENSG00000033627","ATP6V0A1",8732,7759
"506","ENSG00000033800","PIAS1",5004,3633
"507","ENSG00000033867","SLC4A7",43626,29355
"508","ENSG00000034053","APBA2",3794,2759
"509","ENSG00000034152","MAP2K3",15240,23485
"510","ENSG00000034239","EFCAB1",5,1
"511","ENSG00000034510","TMSB10",92486,111240
"512","ENSG00000034533","ASTE1",585,344
"513","ENSG00000034677","RNF19A",5495,3424
"514","ENSG00000034693","PEX3",932,1113
"515","ENSG00000034713","GABARAPL2",9202,7142
"516","ENSG00000034971","MYOC",1,3
"517","ENSG00000035115","SH3YL1",2308,1762
"518","ENSG00000035141","FAM136A",3300,2759
"519","ENSG00000035403","VCL",132030,159856
"520","ENSG00000035499","DEPDC1B",105,71
"521","ENSG00000035664","DAPK2",60,61
"522","ENSG00000035681","NSMAF",4524,3804
"523","ENSG00000035687","ADSS2",5279,5072
"524","ENSG00000035720","STAP1",1,0
"525","ENSG00000035862","TIMP2",169983,161969
"526","ENSG00000035928","RFC1",12121,9097
"527","ENSG00000036054","TBC1D23",6101,3200
"528","ENSG00000036257","CUL3",10027,7850
"529","ENSG00000036448","MYOM2",67,30
"530","ENSG00000036473","OTC",0,0
"531","ENSG00000036530","CYP46A1",77,60
"532","ENSG00000036549","ZZZ3",7032,3732
"533","ENSG00000036565","SLC18A1",2,0
"534","ENSG00000036672","USP2",300,97
"535","ENSG00000036828","CASR",0,0
"536","ENSG00000037042","TUBG2",3366,3345
"537","ENSG00000037241","RPL26L1",1934,1776
"538","ENSG00000037280","FLT4",6,11
"539","ENSG00000037474","NSUN2",5884,6401
"540","ENSG00000037637","FBXO42",5207,4673
"541","ENSG00000037749","MFAP3",7219,5593
"542","ENSG00000037757","MRI1",2524,1676
"543","ENSG00000037897","METTL1",867,895
"544","ENSG00000037965","HOXC8",0,2
"545","ENSG00000038002","AGA",1453,2130
"546","ENSG00000038210","PI4K2B",1309,1127
"547","ENSG00000038219","BOD1L1",14077,9769
"548","ENSG00000038274","MAT2B",4436,3279
"549","ENSG00000038295","TLL1",302,166
"550","ENSG00000038358","EDC4",5723,4252
"551","ENSG00000038382","TRIO",47007,41722
"552","ENSG00000038427","VCAN",24083,4672
"553","ENSG00000038532","CLEC16A",4795,5445
"554","ENSG00000038945","MSR1",3120,436
"555","ENSG00000039068","CDH1",62,106
"556","ENSG00000039123","MTREX",6118,4087
"557","ENSG00000039139","DNAH5",692,700
"558","ENSG00000039319","ZFYVE16",4976,3076
"559","ENSG00000039523","RIPOR1",15957,15447
"560","ENSG00000039537","C6",3,2
"561","ENSG00000039560","RAI14",36447,29861
"562","ENSG00000039600","SOX30",42,48
"563","ENSG00000039650","PNKP",2342,2702
"564","ENSG00000039987","BEST2",1,6
"565","ENSG00000040199","PHLPP2",3033,2653
"566","ENSG00000040275","SPDL1",3386,2600
"567","ENSG00000040341","STAU2",3743,3333
"568","ENSG00000040487","SLC66A1",1589,1103
"569","ENSG00000040531","CTNS",2683,1596
"570","ENSG00000040608","RTN4R",540,152
"571","ENSG00000040633","PHF23",4436,4271
"572","ENSG00000040731","CDH10",9,1
"573","ENSG00000040933","INPP4A",5250,4305
"574","ENSG00000041353","RAB27B",552,459
"575","ENSG00000041357","PSMA4",8330,6997
"576","ENSG00000041515","MYO16",206,226
"577","ENSG00000041802","LSG1",2961,2654
"578","ENSG00000041880","PARP3",2426,2639
"579","ENSG00000041982","TNC",3186,2720
"580","ENSG00000041988","THAP3",1956,1056
"581","ENSG00000042062","RIPOR3",103,44
"582","ENSG00000042088","TDP1",2040,1660
"583","ENSG00000042286","AIFM2",1735,1989
"584","ENSG00000042304","C2orf83",0,0
"585","ENSG00000042317","SPATA7",418,282
"586","ENSG00000042429","MED17",547,336
"587","ENSG00000042445","RETSAT",7915,6729
